prompt,messages,category
List the third year first semester courses for Automotive Engineering,"[{""content"": ""List the third year first semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the third year first semester of Automotive Engineering, you will study:\n\nThird Year - First Semester (Fall) - Compulsory Courses:\nECC304, Fluid Mechanics I, Credit:4, ECTS:7, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC307, Machine Design I, Credit:4, ECTS:6, Prerequisite: ECC213, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE305, Introduction to Automotive Engineering, Credit:3, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC305, Manufacturing Technology II, Credit:3, ECTS:5, Prerequisite: ECC209, Class:4, LAB:0, Practical:2, PS:3, C:2, R:1, T:0\nECC306, Heat Transfer I, Credit:3, ECTS:6, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\n\nTotal Semester: Credit:17, ECTS:30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year second semester of Automotive Engineering?,"[{""content"": ""What courses will I take in third year second semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the third year second semester of Automotive Engineering, you will study:\n\nThird Year - Second Semester (Spring) - Compulsory Courses:\nMTH323, Numerical Analysis, Credit:3, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC309, Theory of Machines I, Credit:3, ECTS:5, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC308, Machine Design II, Credit:4, ECTS:5, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC310, Control Systems, Credit:3, ECTS:5, Prerequisite: MTH201, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE306, Vehicle Component Design, Credit:3, ECTS:6, Prerequisite: ECC307, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE300, Industrial Training (6 Weeks), Credit:0, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0\n\nTotal Semester: Credit:16, ECTS:30"", ""role"": ""assistant""}]",Course Information
List the third year second semester courses for Automotive Engineering,"[{""content"": ""List the third year second semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the third year second semester of Automotive Engineering, you will study:\n\nThird Year - Second Semester (Spring) - Compulsory Courses:\nMTH323, Numerical Analysis, Credit:3, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC309, Theory of Machines I, Credit:3, ECTS:5, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC308, Machine Design II, Credit:4, ECTS:5, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC310, Control Systems, Credit:3, ECTS:5, Prerequisite: MTH201, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE306, Vehicle Component Design, Credit:3, ECTS:6, Prerequisite: ECC307, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE300, Industrial Training (6 Weeks), Credit:0, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0\n\nTotal Semester: Credit:16, ECTS:30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year first semester of Automotive Engineering?,"[{""content"": ""What courses will I take in fourth year first semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Automotive Engineering, you will study:\n\nFourth Year - First Semester (Fall) - Compulsory Courses:\nAUE401, Vehicle Dynamics, Credit:3, ECTS:4, Prerequisite: ECC212, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE403, Vehicle Body Design, Credit:3, ECTS:4, Prerequisite: AUE306, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC424, Experimental Analysis of Mechanical Engineering Systems, Credit:3, ECTS:5, Prerequisite: None, Class:2, LAB:2, Practical:0, PS:1, C:2, R:1, T:0\nECC425, Internal Combustion Engines, Credit:3, ECTS:5, Prerequisite: ECC208, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC439, Occupational Health and Safety I, Credit:2, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\n\nTotal Semester: Credit:20, ECTS:30"", ""role"": ""assistant""}]",Course Information
List the fourth year first semester courses for Automotive Engineering,"[{""content"": ""List the fourth year first semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Automotive Engineering, you will study:\n\nFourth Year - First Semester (Fall) - Compulsory Courses:\nAUE401, Vehicle Dynamics, Credit:3, ECTS:4, Prerequisite: ECC212, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE403, Vehicle Body Design, Credit:3, ECTS:4, Prerequisite: AUE306, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC424, Experimental Analysis of Mechanical Engineering Systems, Credit:3, ECTS:5, Prerequisite: None, Class:2, LAB:2, Practical:0, PS:1, C:2, R:1, T:0\nECC425, Internal Combustion Engines, Credit:3, ECTS:5, Prerequisite: ECC208, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC439, Occupational Health and Safety I, Credit:2, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\n\nTotal Semester: Credit:20, ECTS:30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year second semester of Automotive Engineering?,"[{""content"": ""What courses will I take in fourth year second semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Automotive Engineering, you will study:\n\nFourth Year - Second Semester (Spring) - Compulsory Courses:\nAUE400, Graduation Project, Credit:3, ECTS:6, Prerequisite: None\nAUE404, Vehicle Production & Systems, Credit:3, ECTS:4, Prerequisite: ECC209, ECC305\nECC440, Occupational Health and Safety II, Credit:2, ECTS:4, Prerequisite: ECC439\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nRNTE, Restricted Non-Technical Elective, Credit:3, ECTS:5, Prerequisite: None\nFNTE, Free Non-Technical Elective, Credit:3, ECTS:3, Prerequisite: None\n\nTotal Semester: Credit:20, ECTS:30\n\nProgram Total: Credit:150, ECTS:240"", ""role"": ""assistant""}]",Course Information
List the fourth year second semester courses for Automotive Engineering,"[{""content"": ""List the fourth year second semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Automotive Engineering, you will study:\n\nFourth Year - Second Semester (Spring) - Compulsory Courses:\nAUE400, Graduation Project, Credit:3, ECTS:6, Prerequisite: None\nAUE404, Vehicle Production & Systems, Credit:3, ECTS:4, Prerequisite: ECC209, ECC305\nECC440, Occupational Health and Safety II, Credit:2, ECTS:4, Prerequisite: ECC439\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nRNTE, Restricted Non-Technical Elective, Credit:3, ECTS:5, Prerequisite: None\nFNTE, Free Non-Technical Elective, Credit:3, ECTS:3, Prerequisite: None\n\nTotal Semester: Credit:20, ECTS:30\n\nProgram Total: Credit:150, ECTS:240"", ""role"": ""assistant""}]",Curriculum
What career opportunities are available after graduating from Automotive Engineering?,"[{""content"": ""What career opportunities are available after graduating from Automotive Engineering?"", ""role"": ""user""}, {""content"": ""Automotive Engineering Program Summary:\nDegree: Bachelor of Science in Automotive Engineering\nDuration: 4 years (8 semesters)\nTotal Credits: 150\nTotal ECTS: 240\n\nProgram Focus Areas:\n- Vehicle Dynamics and Control\n- Automotive Design and Manufacturing\n- Internal Combustion Engines\n- Automotive Electronics and Mechatronics\n- Vehicle Body Design\n- Transmission Systems\n- Electric and Hybrid Vehicles\n- Automotive Materials and Manufacturing\n- Computational Fluid Dynamics\n- Automotive Sensors and Instrumentation\n\nCareer Opportunities:\nAutomotive Design Engineer\nVehicle Dynamics Engineer\nPowertrain Engineer\nAutomotive Electronics Engineer\nManufacturing Engineer\nQuality Control Engineer\nResearch and Development Engineer\nAutomotive Consultant\nProject Engineer\nProduction Engineer\nTesting and Validation Engineer\nAcademic and Research Positions\n\nProfessional Recognition:\nGraduates are qualified to work in automotive manufacturers, suppliers, research institutions, and engineering consulting firms worldwide."", ""role"": ""assistant""}]",Career Information
What jobs can I get with a Automotive Engineering degree?,"[{""content"": ""What jobs can I get with a Automotive Engineering degree?"", ""role"": ""user""}, {""content"": ""Automotive Engineering Program Summary:\nDegree: Bachelor of Science in Automotive Engineering\nDuration: 4 years (8 semesters)\nTotal Credits: 150\nTotal ECTS: 240\n\nProgram Focus Areas:\n- Vehicle Dynamics and Control\n- Automotive Design and Manufacturing\n- Internal Combustion Engines\n- Automotive Electronics and Mechatronics\n- Vehicle Body Design\n- Transmission Systems\n- Electric and Hybrid Vehicles\n- Automotive Materials and Manufacturing\n- Computational Fluid Dynamics\n- Automotive Sensors and Instrumentation\n\nCareer Opportunities:\nAutomotive Design Engineer\nVehicle Dynamics Engineer\nPowertrain Engineer\nAutomotive Electronics Engineer\nManufacturing Engineer\nQuality Control Engineer\nResearch and Development Engineer\nAutomotive Consultant\nProject Engineer\nProduction Engineer\nTesting and Validation Engineer\nAcademic and Research Positions\n\nProfessional Recognition:\nGraduates are qualified to work in automotive manufacturers, suppliers, research institutions, and engineering consulting firms worldwide."", ""role"": ""assistant""}]",Career Information
What can I do after graduating from Automotive Engineering?,"[{""content"": ""What can I do after graduating from Automotive Engineering?"", ""role"": ""user""}, {""content"": ""Automotive Engineering Program Summary:\nDegree: Bachelor of Science in Automotive Engineering\nDuration: 4 years (8 semesters)\nTotal Credits: 150\nTotal ECTS: 240\n\nProgram Focus Areas:\n- Vehicle Dynamics and Control\n- Automotive Design and Manufacturing\n- Internal Combustion Engines\n- Automotive Electronics and Mechatronics\n- Vehicle Body Design\n- Transmission Systems\n- Electric and Hybrid Vehicles\n- Automotive Materials and Manufacturing\n- Computational Fluid Dynamics\n- Automotive Sensors and Instrumentation\n\nCareer Opportunities:\nAutomotive Design Engineer\nVehicle Dynamics Engineer\nPowertrain Engineer\nAutomotive Electronics Engineer\nManufacturing Engineer\nQuality Control Engineer\nResearch and Development Engineer\nAutomotive Consultant\nProject Engineer\nProduction Engineer\nTesting and Validation Engineer\nAcademic and Research Positions\n\nProfessional Recognition:\nGraduates are qualified to work in automotive manufacturers, suppliers, research institutions, and engineering consulting firms worldwide."", ""role"": ""assistant""}]",Career Information
What are the mission and vision of the Automotive Engineering program?,"[{""content"": ""What are the mission and vision of the Automotive Engineering program?"", ""role"": ""user""}, {""content"": ""Department Mission and Vision:\n\nMission:\nTo support and lead the nation's requirements and technological developments, to be able to conduct international projects and to have an authority in research areas. To perform research studies and to educate engineers equipped with technical \""know-how\"", creative thinking and being able to try and research new technologies to achieve required goal.\n\nVision:\nThe vision of the department is to have respect and authority in engineering activities and to gain acceptance through research projects, support to the nation and delivering high quality engineers."", ""role"": ""assistant""}]",Program Information
Tell me about the mission and vision of Automotive Engineering,"[{""content"": ""Tell me about the mission and vision of Automotive Engineering"", ""role"": ""user""}, {""content"": ""Department Mission and Vision:\n\nMission:\nTo support and lead the nation's requirements and technological developments, to be able to conduct international projects and to have an authority in research areas. To perform research studies and to educate engineers equipped with technical \""know-how\"", creative thinking and being able to try and research new technologies to achieve required goal.\n\nVision:\nThe vision of the department is to have respect and authority in engineering activities and to gain acceptance through research projects, support to the nation and delivering high quality engineers."", ""role"": ""assistant""}]",Program Information
What elective courses are available in the Automotive Engineering program?,"[{""content"": ""What elective courses are available in the Automotive Engineering program?"", ""role"": ""user""}, {""content"": ""The Automotive Engineering program offers the following elective courses:\n\nFourth Year - First Semester (Fall) - Compulsory Courses:\nAUE401, Vehicle Dynamics, Credit:3, ECTS:4, Prerequisite: ECC212, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE403, Vehicle Body Design, Credit:3, ECTS:4, Prerequisite: AUE306, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC424, Experimental Analysis of Mechanical Engineering Systems, Credit:3, ECTS:5, Prerequisite: None, Class:2, LAB:2, Practical:0, PS:1, C:2, R:1, T:0\nECC425, Internal Combustion Engines, Credit:3, ECTS:5, Prerequisite: ECC208, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC439, Occupational Health and Safety I, Credit:2, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\n\nTotal Semester: Credit:20, ECTS:30"", ""role"": ""assistant""}]",Course Information
Tell me about elective courses for Automotive Engineering,"[{""content"": ""Tell me about elective courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""The Automotive Engineering program offers the following elective courses:\n\nFourth Year - First Semester (Fall) - Compulsory Courses:\nAUE401, Vehicle Dynamics, Credit:3, ECTS:4, Prerequisite: ECC212, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE403, Vehicle Body Design, Credit:3, ECTS:4, Prerequisite: AUE306, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC424, Experimental Analysis of Mechanical Engineering Systems, Credit:3, ECTS:5, Prerequisite: None, Class:2, LAB:2, Practical:0, PS:1, C:2, R:1, T:0\nECC425, Internal Combustion Engines, Credit:3, ECTS:5, Prerequisite: ECC208, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC439, Occupational Health and Safety I, Credit:2, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\nTE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None\n\nTotal Semester: Credit:20, ECTS:30"", ""role"": ""assistant""}]",Course Information
How long is the Automotive Engineering program?,"[{""content"": ""How long is the Automotive Engineering program?"", ""role"": ""user""}, {""content"": ""FACULTY OF ENGINEERING\nDEPARTMENT OF AUTOMOTIVE ENGINEERING\nBachelor of Science in Automotive Engineering\n\nProgram Duration: 4 years (8 semesters)\nDegree: Bachelor of Science\nTotal ECTS for Graduation: 240\nTotal Credits: 150\n\nMain website: https://muhendislik.neu.edu.tr/?lang=en\nCurriculum link: https://muhendislik.neu.edu.tr/academic/academic-programmes/department-of-automotive-engineering/?lang=en\n\nLegend:\nPS = Problem Solving\nC = Complementary\nR = Reformative\nT = Tutorial\nLAB = Laboratory Hours\nPractical = Practical Hours"", ""role"": ""assistant""}]",Program Information
